Region,Office,Client ID,Client Status,Loan Status,Client Score,Status Date
Nairobi Region,Ngong Road,62559.0,Dormant,Penalties,57.16,2020-09-30
Western Region,Kisumu,79784.0,Active,Penalties,50.01,2020-10-31
South Rift AgriBiz,Ndunyu Njeru,60758.0,Active,Pending Renewal,60.4,2021-02-28
Nairobi Region,Kariobangi,80383.0,Active,P+I In Default,59.21,2021-02-28
Nairobi Region,Embakasi,3495.0,Dormant,Penalties,0.15,2016-07-31
South Rift AgriBiz,Nakuru AgriBiz,17627.0,Dormant,Penalties,20.65,2019-02-28
Western Region,Kisumu,65122.0,Dormant,Penalties,20.36,2020-08-31
Nairobi Region,Kariobangi,8417.0,Dormant,Penalties,32.39,2017-08-31
Central AgriBiz,Gatundu,46041.0,Dormant,P+I In Default,,2020-05-31
Nairobi Region,Kahawa,745.0,Dormant,Pending Renewal,38.75,2017-01-31
South Rift Region,Naivasha,44552.0,Dormant,Penalties,46.01,2021-02-28
Eastern Region,Wote,79821.0,Active,P+I Current,75.08,2021-02-28
Nairobi Region,Kahawa,49113.0,Dormant,Penalties,32.13,2020-03-31
North Rift Region,Nandi Hills,40030.0,Dormant,Penalties,47.09,2019-09-30
Western Region,Bungoma,73717.0,Dormant,Penalties,0.73,2021-02-28
South Rift AgriBiz,Nakuru AgriBiz,6217.0,Dormant,Pending Renewal,44.8,2018-01-31
Nairobi Region,Kiambu,34774.0,Dormant,Penalties,43.6,2019-05-31
South Rift Region,Nakuru,3675.0,Dormant,Penalties,0.55,2016-09-30
Western Region,Mbale,55513.0,Dormant,Penalties,69.98,2020-06-30
South Rift Region,Kericho,65944.0,Dormant,Penalties,38.71,2020-11-30
Nairobi Region,Kariobangi,3093.0,Dormant,Pending Renewal,45.33,2016-07-31
South Rift AgriBiz,Londiani,72466.0,Active,Pending Renewal,58.24,2021-02-28
Nairobi Region,Thika,74782.0,Dormant,Penalties,1.31,2020-10-31
Coast Region,Mombasa,37868.0,Dormant,Penalties,42.32,2020-03-31
South Rift Region,Kericho,8651.0,Active,Pending Renewal,64.62,2021-02-28
Nairobi Region,Ngong Road,44072.0,Active,P+I Current,40.59,2021-02-28
Coast Region,Kilifi,62165.0,Inactive,Pending Renewal,,2019-07-31
North Rift Region,Eldoret2,33839.0,Dormant,Penalties,10.44,2019-04-30
South Rift Region,Kericho,54973.0,Inactive,Pending Renewal,,2019-04-30
North Rift Region,Kitale,45155.0,Dormant,Penalties,3.95,2019-10-31
South Rift Region,Nakuru,42103.0,Dormant,Penalties,24.7,2019-10-31
South Rift Region,Nakuru,17715.0,Dormant,Penalties,2.35,2018-05-31
Eastern Region,Wote,76135.0,Active,Penalties,72.12,2021-01-31
South Rift Region,Naivasha,39764.0,Dormant,Penalties,41.95,2019-10-31
Nairobi Region,Kiambu,64563.0,Dormant,Penalties,31.79,2020-10-31
Nairobi Region,Thika,57779.0,Dormant,Penalties,50.91,2020-10-31
Western Region,Bungoma,64009.0,Active,Penalties,37.04,2021-02-28
North Rift Region,Eldoret2,59579.0,Dormant,Penalties,30.74,2020-07-31
Nairobi Region,Embakasi,2809.0,Dormant,Penalties,49.56,2017-11-30
South Rift Region,Bomet,74758.0,Dormant,Penalties,29.89,2020-10-31
Coast Region,Malindi,40468.0,Dormant,Penalties,59.23,2019-11-30
Nairobi Region,Ngong Road,12876.0,Dormant,Pending Renewal,46.91,2018-02-28
North Rift Region,Eldoret2,29003.0,Dormant,Penalties,0.15,2019-02-28
South Rift Region,Molo,64288.0,Dormant,P+I In Default,12.17,2020-09-30
North Rift Region,Kapsabet,13354.0,Dormant,Penalties,61.91,2020-03-31
Nairobi Region,Thika,75873.0,Active,P+I In Default,74.93,2021-02-28
South Rift AgriBiz,Keringet,71435.0,Active,Penalties,52.07,2021-01-31
North Rift Region,Kitale,40053.0,Dormant,Penalties,36.19,2019-09-30
South Rift AgriBiz,Ndunyu Njeru,27031.0,Dormant,Pending Renewal,77.0,2019-10-31
Western Region,Kisumu,65632.0,Dormant,Penalties,20.21,2020-10-31
Western Region,Bungoma,79095.0,Active,Penalties,1.31,2021-02-28
South Rift Region,Naivasha,2203.0,Dormant,Penalties,36.63,2018-05-31
South Rift Region,Molo,74435.0,Dormant,Penalties,39.61,2020-10-31
Eastern Region,Mwingi,53616.0,Dormant,Pending Renewal,41.88,2020-03-31
South Rift AgriBiz,Keringet,51975.0,Dormant,Pending Renewal,50.63,2021-01-31
Nairobi Region,Ngong Road,5890.0,Dormant,Penalties,23.88,2017-03-31
South Rift Region,Nakuru,10576.0,Dormant,Penalties,32.13,2017-11-30
Coast Region,Mtwapa,14303.0,Dormant,Penalties,0.15,2018-03-31
Nairobi Region,Kariobangi,16380.0,Dormant,Penalties,4.2,2018-04-30
Western Region,Busia,77582.0,Active,Pending Renewal,20.5,2020-09-30
North Rift Region,Eldoret2,19022.0,Inactive,Pending Renewal,,2017-06-30
Central AgriBiz,Githunguri,45276.0,Dormant,Penalties,60.75,2020-08-31
North Rift Region,Nandi Hills,40031.0,Dormant,Penalties,29.38,2019-10-31
North Rift Region,Eldoret3,57931.0,Dormant,Penalties,51.1,2020-06-30
Nairobi Region,Ngong Road,9374.0,Dormant,Penalties,53.08,2018-02-28
South Rift AgriBiz,Ndunyu Njeru,47115.0,Dormant,Pending Renewal,53.49,2020-10-31
Coast Region,Mariakani,34505.0,Dormant,Penalties,35.83,2019-09-30
Western Region,Kakamega,57218.0,Active,Pending Renewal,48.13,2021-02-28
Eastern Region,Machakos,59574.0,Active,P+I Current,80.95,2021-02-28
Nairobi Region,Kahawa,62919.0,Dormant,Penalties,10.8,2020-07-31
Nairobi Region,Ngong Road,46527.0,Dormant,Penalties,8.9,2019-10-31
Eastern Region,Tala,55629.0,Dormant,Penalties,50.35,2020-05-31
Nairobi Region,Kahawa,878.0,Dormant,Penalties,42.57,2020-09-30
Eastern Region,Kitui,71533.0,Dormant,Penalties,42.39,2021-02-28
South Rift Region,Bomet,13159.0,Dormant,Penalties,20.11,2018-07-31
Coast Region,Changamwe,33317.0,Dormant,Penalties,45.33,2019-07-31
North Rift Region,Eldoret2,6814.0,Dormant,Pending Renewal,38.65,2017-04-30
South Rift Region,Molo,44926.0,Dormant,Penalties,38.42,2020-08-31
North Rift Region,Eldoret1,14098.0,Dormant,Penalties,41.32,2018-06-30
South Rift AgriBiz,Ndunyu Njeru,37011.0,Active,P+I Current,59.72,2021-02-28
Coast Region,Mombasa,32461.0,Dormant,Penalties,52.76,2019-07-31
North Rift Region,Eldoret1,13560.0,Dormant,Penalties,48.5,2018-07-31
North Rift Region,Eldoret2,5085.0,Dormant,Penalties,36.92,2017-12-31
South Rift AgriBiz,Ndunyu Njeru,13483.0,Active,P+I In Default,67.19,2021-02-28
Nairobi Region,Kariobangi,4287.0,Dormant,Penalties,34.36,2016-11-30
Central AgriBiz,Gatundu,56151.0,Dormant,P+I In Default,,2020-09-30
Nairobi Region,Thika,82831.0,Active,Pending Renewal,76.31,2020-12-31
Central AgriBiz,Githunguri,83257.0,Active,P+I Current,,2021-01-31
Coast Region,Malindi,45330.0,Dormant,Penalties,24.04,2019-11-30
North Rift Region,Eldoret2,15386.0,Dormant,Penalties,18.32,2018-05-31
Nairobi Region,Kiambu,11722.0,Dormant,Penalties,0.15,2017-11-30
Coast Region,Mombasa,86187.0,New,P+I Current,,2021-02-28
Nairobi Region,Kariobangi,33511.0,Dormant,Penalties,0.15,2019-04-30
Nairobi Region,Limuru,39457.0,Dormant,Penalties,40.91,2019-07-31
South Rift Region,Nakuru,3647.0,Dormant,Penalties,51.83,2017-10-31
Coast Region,Mariakani,32106.0,Dormant,Penalties,24.44,2019-09-30
South Rift AgriBiz,Maili Nne,60768.0,Dormant,Penalties,34.22,2021-02-28
South Rift Region,Kericho,33008.0,Dormant,Pending Renewal,62.69,2019-10-31
Eastern Region,Emali,84861.0,New,P+I In Default,62.53,2021-02-28
South Rift Region,Kericho,12472.0,Dormant,Pending Renewal,77.4,2019-10-31
Nairobi Region,Kahawa,38575.0,Dormant,Penalties,30.42,2019-08-31
Nairobi Region,Limuru,6036.0,Dormant,Penalties,41.93,2017-06-30
Nairobi Region,Kariobangi,35031.0,Dormant,Penalties,0.15,2019-05-31
Eastern Region,Kitui,63044.0,Dormant,Penalties,26.28,2020-09-30
Nairobi Region,Kiambu,33875.0,Dormant,Penalties,11.71,2019-04-30
Eastern Region,Wote,61640.0,Active,Penalties,43.76,2020-11-30
Coast Region,Mombasa,14732.0,Dormant,Penalties,35.84,2018-05-31
North Rift Region,Nandi Hills,52682.0,Inactive,Pending Renewal,,2019-03-31
Western Region,Bungoma,49734.0,Dormant,Penalties,0.72,2020-02-29
South Rift AgriBiz,Nakuru AgriBiz,79901.0,Active,Pending Renewal,77.67,2020-11-30
Nairobi Region,Embakasi,27158.0,Active,P+I In Default,57.95,2021-02-28
Western Region,Kisumu,74943.0,Dormant,Penalties,1.31,2020-10-31
South Rift AgriBiz,Keringet,73301.0,Dormant,Pending Renewal,58.44,2021-02-28
South Rift AgriBiz,Nakuru AgriBiz,66527.0,Dormant,Penalties,54.43,2021-02-28
South Rift Region,Nyahururu,39793.0,Dormant,Penalties,44.89,2019-10-31
Western Region,Bondo,85922.0,New,P+I Current,,2021-02-28
Coast Region,Changamwe,34227.0,Dormant,Penalties,29.88,2019-06-30
South Rift AgriBiz,Keringet,64603.0,Dormant,Pending Renewal,64.36,2021-02-28
Nairobi Region,Kiambu,19563.0,Inactive,Pending Renewal,,2017-06-30
Coast Region,Mariakani,36868.0,Dormant,Penalties,17.46,2019-05-31
Western Region,Mbale,54556.0,Dormant,Penalties,37.71,2020-05-31
North Rift Region,Eldoret3,21351.0,Dormant,Penalties,30.88,2018-07-31
Eastern Region,Kitui,71954.0,Dormant,Penalties,24.57,2021-02-28
South Rift Region,Kericho,82146.0,Active,P+I Current,45.1,2021-02-28
Coast Region,Malindi,58574.0,Dormant,Penalties,0.15,2020-05-31
Eastern Region,Matuu,53610.0,Dormant,Penalties,11.98,2020-05-31
Nairobi Region,Kariobangi,9020.0,Dormant,Penalties,34.87,2019-03-31
South Rift AgriBiz,Keringet,76604.0,Active,P+I Current,42.97,2021-02-28
Western Region,Bungoma,81041.0,Active,P+I In Default,,2020-12-31
Coast Region,Malindi,29051.0,Dormant,Penalties,19.15,2019-04-30
Coast Region,Malindi,81147.0,Active,P+I Current,54.12,2021-02-28
South Rift Region,Bomet,52952.0,Dormant,Penalties,8.9,2020-03-31
Western Region,Mumias,62547.0,Dormant,Penalties,26.9,2020-07-31
Western Region,Bungoma,80098.0,Active,Penalties,23.41,2021-01-31
North Rift Region,Kitale,18804.0,Dormant,Penalties,32.13,2018-07-31
Nairobi Region,Thika,36077.0,Dormant,Penalties,40.92,2019-05-31
Coast Region,Voi,67958.0,Dormant,Penalties,28.31,2020-10-31
Nairobi Region,Kariobangi,16904.0,Dormant,Penalties,32.94,2018-06-30
Coast Region,Changamwe,58268.0,Dormant,Penalties,0.5,2020-08-31
North Rift Region,Kitale,61716.0,Dormant,Penalties,1.29,2020-07-31
South Rift AgriBiz,Keringet,49305.0,Active,Penalties,58.95,2021-02-28
South Rift AgriBiz,Londiani,81416.0,Active,P+I In Default,,2021-01-31
Eastern Region,Matuu,61153.0,Dormant,Penalties,35.7,2020-10-31
Coast Region,Mtwapa,26723.0,Dormant,Penalties,27.8,2021-02-28
North Rift Region,Kitale,59325.0,Dormant,Penalties,56.79,2020-08-31
North Rift Region,Eldoret2,64160.0,Dormant,Penalties,36.11,2020-08-31
South Rift Region,Narok,59787.0,Dormant,Penalties,35.37,2021-01-31
Nairobi Region,Kahawa,31323.0,Dormant,Penalties,1.38,2019-03-31
Nairobi Region,Rongai,46486.0,Dormant,Penalties,25.8,2019-10-31
Western Region,Kisumu,60771.0,Dormant,Penalties,0.15,2020-06-30
Nairobi Region,Ngong Road,7791.0,Dormant,Penalties,38.85,2017-06-30
South Rift Region,Kericho,41306.0,Dormant,Pending Renewal,68.59,2019-10-31
North Rift Region,Eldoret2,26250.0,Inactive,Pending Renewal,,2017-11-30
North Rift Region,Eldoret1,21160.0,Dormant,Penalties,12.68,2018-07-31
North Rift Region,Eldoret2,83331.0,Active,Penalties,19.47,2021-02-28
Nairobi Region,Kiambu,82612.0,Active,Penalties,6.08,2021-01-31
South Rift AgriBiz,Keringet,63985.0,Dormant,Pending Renewal,61.58,2021-02-28
North Rift Region,Kapsowar,76472.0,Active,Penalties,41.14,2020-09-30
Nairobi Region,Kiambu,85099.0,New,P+I Current,,2021-02-28
North Rift Region,Kitale,79737.0,Active,Penalties,25.76,2020-10-31
Western Region,Mumias,67556.0,Dormant,Penalties,8.9,2020-10-31
Nairobi Region,Thika,3530.0,Dormant,Pending Renewal,22.3,2016-10-31
South Rift AgriBiz,Maili Nne,29771.0,Dormant,Pending Renewal,62.32,2020-01-31
Coast Region,Mtwapa,34555.0,Dormant,Penalties,26.58,2019-07-31
Coast Region,Mombasa,32298.0,Dormant,Penalties,30.53,2019-09-30
North Rift Region,Kapsabet,78528.0,Active,Pending Renewal,79.25,2020-11-30
Nairobi Region,Kiambu,25145.0,Dormant,Penalties,16.95,2018-10-31
Coast Region,Kilifi,78085.0,Active,Penalties,80.34,2021-01-31
North Rift Region,Kapsabet,36405.0,Dormant,Penalties,29.37,2019-05-31
Nairobi Region,Kahawa,60174.0,Dormant,Penalties,34.62,2020-10-31
Coast Region,Malindi,74631.0,Dormant,Penalties,18.68,2020-10-31
Central AgriBiz,Githunguri,36766.0,Dormant,P+I In Default,41.89,2021-02-28
Nairobi Region,Kiambu,32329.0,Dormant,Penalties,0.35,2019-04-30
North Rift Region,Nandi Hills,57085.0,Dormant,Penalties,38.24,2020-07-31
North Rift Region,Iten,36552.0,Dormant,Penalties,35.67,2019-08-31
North Rift Region,Eldoret3,74825.0,Inactive,Pending Renewal,,2020-04-30
Nairobi Region,Embakasi,2136.0,Dormant,Penalties,32.03,2016-06-30
North Rift Region,Kitale,75701.0,Active,Penalties,62.25,2020-12-31
South Rift Region,Naivasha,10058.0,Active,P+I In Default,47.47,2021-02-28
Nairobi Region,Kiambu,6384.0,Dormant,Penalties,29.11,2017-04-30
Western Region,Mbale,50713.0,Dormant,Pending Renewal,46.5,2020-03-31
North Rift Region,Kapsabet,6653.0,Dormant,Pending Renewal,32.43,2021-02-28
North Rift Region,Iten,37333.0,Dormant,Pending Renewal,39.87,2019-08-31
North Rift Region,Kitale,46405.0,Dormant,Penalties,28.93,2019-11-30
South Rift AgriBiz,Nakuru AgriBiz,56131.0,Dormant,Penalties,54.78,2021-01-31
,Fraud,16367.0,Dormant,Penalties,54.9,2019-12-31
North Rift Region,Kapsabet,27221.0,Dormant,Penalties,44.29,2019-10-31
North Rift Region,Kapsabet,63147.0,Dormant,Penalties,0.15,2020-07-31
South Rift Region,Bomet,79339.0,Active,Penalties,37.22,2020-12-31
South Rift Region,Naivasha,2054.0,Dormant,Penalties,22.8,2016-06-30
North Rift Region,Iten,83097.0,Inactive,Pending Renewal,,2020-12-31
North Rift Region,Iten,73088.0,Dormant,Penalties,0.44,2021-02-28
North Rift Region,Kapsabet,8689.0,Dormant,Pending Renewal,75.15,2017-06-30
Western Region,Kisumu,84479.0,New,P+I Current,51.95,2021-02-28
South Rift AgriBiz,Londiani,67678.0,Active,Pending Renewal,75.75,2021-02-28
Eastern Region,Machakos,68908.0,Dormant,Pending Renewal,55.85,2020-11-30
South Rift Region,Bomet,14526.0,Dormant,Penalties,25.14,2020-10-31
North Rift Region,Kapenguria,14471.0,Dormant,Penalties,0.15,2018-03-31
Central AgriBiz,Gatundu,46125.0,Dormant,P+I In Default,,2020-04-30
South Rift Region,Nakuru,69820.0,Inactive,Pending Renewal,,2019-11-30
North Rift Region,Eldoret2,30213.0,Dormant,Penalties,46.84,2020-08-31
North Rift Region,Iten,33274.0,Dormant,Penalties,23.02,2019-04-30
Nairobi Region,Kahawa,29251.0,Dormant,Penalties,33.87,2019-02-28
South Rift Region,Narok,26380.0,Dormant,Penalties,57.63,2018-12-31
North Rift Region,Eldoret2,26893.0,Dormant,Penalties,50.99,2019-09-30
Nairobi Region,Embakasi,35164.0,Dormant,Penalties,8.9,2019-05-31
South Rift Region,Nakuru,31.0,Dormant,Pending Renewal,15.15,2016-02-29
South Rift Region,Nakuru,48746.0,Dormant,Penalties,19.85,2019-12-31
South Rift Region,Narok,57025.0,Dormant,Penalties,26.4,2020-05-31
South Rift AgriBiz,Londiani,75136.0,Active,Pending Renewal,37.86,2020-10-31
Nairobi Region,Kariobangi,554.0,Dormant,Pending Renewal,34.42,2021-02-28
Western Region,Bungoma,65304.0,Dormant,Penalties,22.62,2020-08-31
South Rift AgriBiz,Londiani,51925.0,Active,P+I Current,56.52,2021-02-28
Coast Region,Malindi,48731.0,Dormant,Penalties,39.15,2019-12-31
Nairobi Region,Thika,2541.0,Dormant,Pending Renewal,55.63,2016-10-31
North Rift Region,Eldoret1,21065.0,Dormant,Penalties,50.24,2019-02-28
South Rift AgriBiz,Nakuru AgriBiz,12178.0,Dormant,Pending Renewal,43.9,2018-11-30
Nairobi Region,Embakasi,47044.0,Dormant,Penalties,38.99,2020-07-31
North Rift Region,Eldoret2,66269.0,Dormant,Penalties,46.96,2020-10-31
Western Region,Kakamega,77884.0,Active,Penalties,35.04,2020-09-30
Coast Region,Changamwe,32778.0,Dormant,Penalties,37.02,2019-07-31
Nairobi Region,Ngong Road,14505.0,Dormant,Penalties,24.89,2018-05-31
Nairobi Region,Ngong Road,6852.0,Dormant,Penalties,27.8,2017-04-30
North Rift Region,Kapsabet,9259.0,Dormant,Pending Renewal,38.51,2018-09-30
Coast Region,Changamwe,31582.0,Dormant,Penalties,49.46,2019-12-31
Coast Region,Malindi,44631.0,Dormant,Penalties,20.67,2019-10-31
Nairobi Region,Thika,1306.0,Dormant,Pending Renewal,55.93,2016-06-30
North Rift Region,Eldoret3,38863.0,Inactive,Pending Renewal,,2018-07-31
North Rift Region,Kitale,12701.0,Dormant,Penalties,37.96,2018-10-31
Nairobi Region,Rongai,61906.0,Dormant,Penalties,53.01,2020-12-31
North Rift Region,Kapsowar,72270.0,Active,Penalties,41.93,2021-02-28
North Rift Region,Kapenguria,62518.0,Active,Penalties,54.38,2021-01-31
South Rift Region,Bomet,83207.0,Active,P+I Current,47.25,2021-02-28
Coast Region,Changamwe,30913.0,Dormant,Pending Renewal,65.69,2019-05-31
Nairobi Region,Kiambu,2671.0,Dormant,Pending Renewal,14.15,2016-06-30
Coast Region,Mombasa,15855.0,Active,Penalties,64.57,2021-02-28
Nairobi Region,Kariobangi,50663.0,Dormant,Penalties,50.96,2020-07-31
Nairobi Region,Embakasi,75857.0,Dormant,Penalties,27.54,2021-01-31
North Rift Region,Iten,47795.0,Dormant,Penalties,30.0,2019-12-31
South Rift AgriBiz,Keringet,67155.0,Active,Pending Renewal,64.08,2021-02-28
Nairobi Region,Limuru,15230.0,Dormant,Penalties,18.82,2018-04-30
Nairobi Region,Embakasi,4309.0,Dormant,Penalties,27.8,2021-02-28
Nairobi Region,Kiambu,8890.0,Dormant,Pending Renewal,23.9,2017-06-30
Eastern Region,Emali,86200.0,New,P+I Current,,2021-02-28
Western Region,Kakamega,65811.0,Dormant,Pending Renewal,63.46,2020-11-30
Coast Region,Mariakani,70128.0,Dormant,Penalties,26.14,2021-01-31
Nairobi Region,Thika,64170.0,Dormant,Penalties,48.96,2020-09-30
North Rift Region,Eldoret2,58430.0,Dormant,Penalties,36.54,2020-08-31
Eastern Region,Kitui,83388.0,Active,P+I In Default,,2021-02-28
North Rift Region,Eldoret2,16912.0,Dormant,Penalties,38.25,2019-11-30
Nairobi Region,Embakasi,11039.0,Dormant,Penalties,50.47,2017-10-31
Coast Region,Malindi,72426.0,Dormant,Pending Renewal,52.48,2021-02-28
Western Region,Kakamega,73171.0,Dormant,Penalties,41.45,2021-02-28
South Rift Region,Nakuru,273.0,Dormant,Pending Renewal,43.64,2016-03-31
South Rift Region,Kericho,19168.0,Dormant,Penalties,42.08,2018-06-30
Western Region,Kakamega,50725.0,Dormant,Penalties,43.05,2021-02-28
Coast Region,Malindi,30608.0,Dormant,Pending Renewal,62.56,2019-08-31
South Rift AgriBiz,Keringet,68923.0,Active,P+I Current,72.72,2021-02-28
Nairobi Region,Kahawa,40047.0,Dormant,Penalties,0.15,2019-07-31
Nairobi Region,Limuru,45979.0,Dormant,Penalties,13.45,2019-10-31
Coast Region,Mombasa,39499.0,Dormant,Penalties,47.43,2019-10-31
South Rift AgriBiz,Ndunyu Njeru,27973.0,Dormant,Pending Renewal,56.49,2020-12-31
South Rift Region,Bomet,42056.0,Dormant,Penalties,36.46,2019-10-31
South Rift AgriBiz,Keringet,61338.0,Active,P+I In Default,57.9,2021-02-28
Nairobi Region,Kiambu,2152.0,Dormant,Pending Renewal,52.78,2016-06-30
Nairobi Region,Kariobangi,68066.0,Dormant,Penalties,43.8,2020-12-31
Nairobi Region,Ngong Road,59656.0,Dormant,Penalties,54.95,2020-12-31
South Rift Region,Naivasha,36041.0,Inactive,Pending Renewal,,2018-05-31
South Rift Region,Litein,75487.0,Active,P+I Current,81.43,2021-02-28
Nairobi Region,Rongai,12216.0,Dormant,Penalties,26.19,2018-02-28
Coast Region,Mombasa,72193.0,Dormant,Penalties,53.11,2021-02-28
Coast Region,Mombasa,29172.0,Dormant,Penalties,34.56,2019-04-30
Western Region,Mbale,53011.0,Dormant,Penalties,60.6,2020-03-31
Nairobi Region,Embakasi,52344.0,Dormant,Penalties,24.51,2020-04-30
Western Region,Bondo,84557.0,New,P+I Current,51.25,2021-02-28
North Rift Region,Eldoret2,32547.0,Dormant,Penalties,47.01,2019-04-30
South Rift AgriBiz,Ndunyu Njeru,68157.0,Active,Penalties,44.94,2021-02-28
Western Region,Kakamega,58173.0,Dormant,Penalties,25.94,2020-11-30
South Rift Region,Nakuru,58435.0,Dormant,Penalties,11.07,2020-09-30
South Rift Region,Kericho,61866.0,Dormant,Penalties,0.15,2020-07-31
South Rift Region,Bomet,67808.0,Dormant,Penalties,23.36,2020-11-30
Nairobi Region,Thika,13553.0,Dormant,Penalties,2.35,2018-10-31
North Rift Region,Eldoret2,29241.0,Dormant,Penalties,48.95,2019-07-31
Nairobi Region,Rongai,29285.0,Dormant,Penalties,39.36,2019-02-28
Western Region,Bungoma,57235.0,Dormant,Penalties,43.35,2020-11-30
South Rift Region,Molo,47262.0,Dormant,Penalties,37.46,2020-01-31
Nairobi Region,Kahawa,29689.0,Dormant,Penalties,37.13,2019-05-31
Nairobi Region,Kahawa,36845.0,Dormant,Penalties,32.65,2019-05-31
Nairobi Region,Ngong Road,64902.0,Dormant,Penalties,0.15,2020-08-31
Coast Region,Mtwapa,43114.0,Dormant,Penalties,15.44,2019-11-30
North Rift Region,Eldoret3,44747.0,Dormant,Pending Renewal,36.07,2019-10-31
Coast Region,Malindi,42660.0,Dormant,Penalties,0.15,2019-08-31
South Rift AgriBiz,Keringet,70895.0,Active,P+I Current,68.54,2021-02-28
South Rift Region,Naivasha,11880.0,Dormant,Penalties,10.0,2017-11-30
Coast Region,Ukunda,43117.0,Dormant,Penalties,32.52,2019-12-31
Central AgriBiz,Githunguri,69572.0,Dormant,Pending Renewal,73.72,2021-02-28
Nairobi Region,Kiambu,4039.0,Dormant,Penalties,31.83,2016-12-31
North Rift Region,Kitale,40500.0,Dormant,Penalties,35.44,2019-11-30
South Rift Region,Kericho,20262.0,Dormant,Penalties,0.15,2018-07-31
Coast Region,Mariakani,29645.0,Dormant,Penalties,44.33,2020-07-31
North Rift Region,Kapenguria,63825.0,Dormant,Penalties,0.15,2020-08-31
North Rift Region,Kapsabet,46051.0,Dormant,Penalties,8.9,2019-10-31
Central AgriBiz,Githunguri,67635.0,Active,Penalties,52.74,2021-02-28
Coast Region,Malindi,39037.0,Dormant,Penalties,45.95,2019-11-30
South Rift Region,Kericho,40815.0,Dormant,Penalties,28.39,2019-09-30
Coast Region,Mariakani,39735.0,Dormant,Penalties,66.77,2020-03-31
Western Region,Kakamega,72471.0,Dormant,Pending Renewal,45.63,2021-02-28
Coast Region,Malindi,64963.0,Dormant,Penalties,48.79,2020-12-31
Eastern Region,Mwingi,81650.0,Active,Pending Renewal,65.53,2021-02-28
North Rift Region,Eldoret3,7373.0,Dormant,Penalties,47.87,2021-02-28
Nairobi Region,Kahawa,41627.0,Dormant,Penalties,0.15,2019-08-31
North Rift Region,Kitale,78676.0,Active,Penalties,29.99,2020-09-30
Coast Region,Mariakani,32267.0,Dormant,Penalties,58.91,2021-02-28
North Rift Region,Iten,14439.0,Dormant,Penalties,27.66,2018-03-31
North Rift Region,Kapsabet,30140.0,Dormant,Penalties,26.0,2019-04-30
Nairobi Region,Rongai,32484.0,Dormant,Penalties,24.41,2019-04-30
North Rift Region,Kitale,50474.0,Dormant,Penalties,28.61,2020-02-29
South Rift Region,Kericho,67227.0,Active,Penalties,39.42,2021-02-28
Nairobi Region,Rongai,52348.0,Dormant,Penalties,43.76,2021-02-28
North Rift Region,Eldoret2,81777.0,Active,Penalties,29.04,2020-11-30
South Rift Region,Kericho,19635.0,Dormant,Penalties,20.02,2018-08-31
North Rift Region,Eldoret2,10232.0,Dormant,Penalties,32.91,2017-12-31
Western Region,Bungoma,57713.0,Active,Penalties,49.47,2021-02-28
Nairobi Region,Thika,10315.0,Dormant,Penalties,53.66,2017-11-30
North Rift Region,Iten,63090.0,Dormant,Pending Renewal,57.47,2020-10-31
Nairobi Region,Rongai,10777.0,Dormant,Penalties,35.44,2018-03-31
North Rift Region,Kitale,31244.0,Dormant,Penalties,54.9,2019-09-30
North Rift Region,Kitale,49589.0,Inactive,Pending Renewal,,2019-02-28
South Rift Region,Kericho,7288.0,Dormant,Penalties,68.82,2017-11-30
Nairobi Region,Limuru,76388.0,Active,P+I In Default,60.76,2021-02-28
Nairobi Region,Limuru,11669.0,Dormant,Pending Renewal,75.15,2017-11-30
South Rift AgriBiz,Nakuru AgriBiz,53482.0,Active,P+I Current,44.16,2021-02-28
Eastern Region,Emali,86195.0,New,P+I Current,,2021-02-28
Western Region,Mumias,84950.0,New,P+I In Default,,2021-02-28
Nairobi Region,Kiambu,63266.0,Dormant,Penalties,0.15,2020-08-31
South Rift AgriBiz,Ndunyu Njeru,36187.0,Dormant,Penalties,28.58,2020-03-31
Eastern Region,Mwingi,77057.0,Dormant,Penalties,1.31,2021-02-28
North Rift Region,Kitale,12009.0,Active,Pending Renewal,71.97,2020-12-31
Nairobi Region,Rongai,56330.0,Dormant,Penalties,0.15,2020-04-30
Coast Region,Mtwapa,20607.0,Dormant,Penalties,0.15,2018-06-30
Nairobi Region,Limuru,45418.0,Dormant,Penalties,0.15,2019-10-31
Western Region,Bungoma,70220.0,Dormant,Penalties,10.39,2020-11-30
South Rift AgriBiz,Maili Nne,41653.0,Dormant,Penalties,60.39,2021-02-28
Nairobi Region,Ngong Road,4384.0,Dormant,Pending Renewal,51.19,2017-04-30
South Rift Region,Litein,20504.0,Dormant,Penalties,32.18,2018-11-30
Eastern Region,Matuu,84004.0,Active,P+I In Default,20.47,2021-02-28
Nairobi Region,Embakasi,343.0,Dormant,Penalties,30.11,2016-03-31
Nairobi Region,Kiambu,22142.0,Dormant,Penalties,28.91,2018-08-31
South Rift Region,Nyahururu,44487.0,Dormant,Penalties,19.96,2020-02-29
Coast Region,Mombasa,28825.0,Dormant,Penalties,24.08,2019-02-28
Nairobi Region,Kahawa,3766.0,Dormant,Penalties,44.14,2017-12-31
North Rift Region,Kapsowar,79774.0,Active,P+I In Default,44.36,2021-02-28
Nairobi Region,Limuru,4895.0,Dormant,Penalties,27.0,2017-04-30
North Rift Region,Kapsabet,37553.0,Active,P+I Current,61.08,2021-02-28
